"GeneSymbol","ModuleColor","ModuleLabel"
"PGM1","blue",2
"ENY2","blue",2
"C6orf136","turquoise",1
"RNASEK","turquoise",1
"ITPR2","grey",0
"FOXJ3","turquoise",1
"DIXDC1","yellow",4
"NDUFS2","blue",2
"G3BP1","blue",2
"CNN3","grey",0
"CCDC189","turquoise",1
"COX5A","turquoise",1
"EIF3M","turquoise",1
"NHLRC3","blue",2
"GABRB2","red",6
"PDF","turquoise",1
"SKI","yellow",4
"LACC1","brown",3
"PDE4D","turquoise",1
"VCPKMT","turquoise",1
"ARNT2","turquoise",1
"UBL3","turquoise",1
"TUBB4B","turquoise",1
"NUCB1","turquoise",1
"WFS1","grey",0
"ATP2B3","turquoise",1
"TOR1AIP1","blue",2
"BMPR2","blue",2
"BGN","grey",0
"SHPRH","yellow",4
"CCPG1","turquoise",1
"ZFP36L1","grey",0
"TSPAN3","blue",2
"CNTNAP5","turquoise",1
"DHRS11","turquoise",1
"LINGO2","turquoise",1
"MYBPC1","brown",3
"PALLD","grey",0
"GGNBP2","blue",2
"ITPKA","turquoise",1
"WDR7","turquoise",1
"EHBP1","turquoise",1
"CDK11A","green",5
"SRRD","turquoise",1
"TCEAL2","turquoise",1
"FAM102B","turquoise",1
"PDXK","turquoise",1
"PNPLA6","turquoise",1
"PRPSAP1","blue",2
"FHOD3","turquoise",1
"SPIN1","turquoise",1
"SNX3","blue",2
"CELSR2","turquoise",1
"SERPINA3","grey",0
"MTPN","turquoise",1
"NMNAT2","grey",0
"TMEM167A","blue",2
"SLAIN1","brown",3
"DOCK10","brown",3
"PPP4R4","turquoise",1
"TOP2B","blue",2
"SPOCK3","brown",3
"TRMT10C","turquoise",1
"TMEM91","grey",0
"FAF2","turquoise",1
"YARS","turquoise",1
"FZD9","brown",3
"GLDN","brown",3
"LRPPRC","turquoise",1
"BBS7","turquoise",1
"HRASLS","turquoise",1
"PIK3R1","turquoise",1
"OGT","blue",2
"RASAL2","turquoise",1
"FAT1","grey",0
"FAM72A","yellow",4
"RUNX1T1","yellow",4
"NDUFAF7","turquoise",1
"GHITM","turquoise",1
"DRP2","turquoise",1
"MSI1","grey",0
"NR2F2","grey",0
"GCLC","blue",2
"MPP1","turquoise",1
"HSPA9","blue",2
"IL17D","grey",0
"UGGT2","turquoise",1
"COASY","turquoise",1
"LMLN","turquoise",1
"POLR3A","turquoise",1
"RPS6KC1","turquoise",1
"ORC5","turquoise",1
"ERICH1","blue",2
"NDUFAF4","turquoise",1
"DPP10","turquoise",1
"RCAN2","turquoise",1
"GATM","brown",3
"DOK6","turquoise",1
"HAGH","turquoise",1
"IMPA1","turquoise",1
"PTPRZ1","grey",0
"MRPL35","turquoise",1
"IL16","yellow",4
"GSTO1","turquoise",1
"CST3","grey",0
"IMMT","blue",2
"FBXL16","turquoise",1
"LPP","grey",0
"FAM13C","brown",3
"PNPLA8","blue",2
"NDUFA8","turquoise",1
"LYPD8","turquoise",1
"ZDHHC21","turquoise",1
"MRPL3","blue",2
"CDKL2","turquoise",1
"C1orf61","grey",0
"MT3","grey",0
"MAP9","turquoise",1
"NEDD4L","red",6
"GABRA5","turquoise",1
"SLC32A1","turquoise",1
"CANX","turquoise",1
"RGL1","turquoise",1
"LYRM7","turquoise",1
"FN1","grey",0
"STAMBPL1","turquoise",1
"VSX1","yellow",4
"SCG3","turquoise",1
"RNASEH2B","turquoise",1
"CPNE8","turquoise",1
"TM6SF1","turquoise",1
"CHMP4B","turquoise",1
"ADORA2A","green",5
"ADAMTS18","yellow",4
"MLLT6","grey",0
"SNHG1","yellow",4
"TRIM36","turquoise",1
"MTMR4","turquoise",1
"INTS10","blue",2
"NAT8L","turquoise",1
"SPCS3","turquoise",1
"SNORD17","green",5
"PLXDC2","brown",3
"ASPSCR1","grey",0
"GSTK1","turquoise",1
"ZBED8","grey",0
"PLCL1","brown",3
"METTL9","turquoise",1
"TCEAL5","turquoise",1
"KLHL24","grey",0
"KCNT2","turquoise",1
"HLF","turquoise",1
"SELENBP1","grey",0
"RMND5A","yellow",4
"SNRPA1","blue",2
"KCTD3","yellow",4
"ZNF521","yellow",4
"MIR548I1","turquoise",1
"GUCY1A3","turquoise",1
"SRPK2","turquoise",1
"FH","turquoise",1
"ZMAT4","turquoise",1
"MTA2","green",5
"ITPK1","brown",3
"RPS9","grey",0
"LARP6","brown",3
"GUCY1A2","turquoise",1
"TJAP1","brown",3
"CYBRD1","grey",0
"ERGIC2","blue",2
"GCA","turquoise",1
"PPP1R3C","turquoise",1
"SNORD114-2","turquoise",1
"CUX2","turquoise",1
"HNRNPH3","grey",0
"SMAD4","grey",0
"CHST15","turquoise",1
"C2orf47","blue",2
"ARL2","turquoise",1
"FHL2","turquoise",1
"POGZ","yellow",4
"PPCS","blue",2
"ROMO1","blue",2
"PAXIP1","yellow",4
"HMGN1","blue",2
"SLC48A1","brown",3
"AP1M1","turquoise",1
"FAM126B","turquoise",1
"VMA21","turquoise",1
"NBPF14","green",5
"MRPL41","turquoise",1
"ALDH6A1","grey",0
"ELMOD1","turquoise",1
"KCTD13","grey",0
"EPS15","turquoise",1
"SPAG7","turquoise",1
"OPN3","turquoise",1
"SUSD4","turquoise",1
"PRKAA2","turquoise",1
"SELT","turquoise",1
"TMEM74B","turquoise",1
"BTRC","turquoise",1
"LINC01551","turquoise",1
"MUT","blue",2
"NPC2","brown",3
"C1QTNF5","brown",3
"TP53INP1","grey",0
"MFGE8","grey",0
"PTS","turquoise",1
"ACACA","turquoise",1
"VAMP1","turquoise",1
"NEUROD6","turquoise",1
"IARS","turquoise",1
"SESN3","blue",2
"SOX8","brown",3
"RNU4-2","grey",0
"SETD6","yellow",4
"CAND1","turquoise",1
"NDUFA1","blue",2
"ZFAND6","blue",2
"DSTN","turquoise",1
"IMP4","turquoise",1
"C2orf76","blue",2
"HABP4","turquoise",1
"ZNF532","grey",0
"WDR61","turquoise",1
"CCDC91","turquoise",1
"CLDN5","grey",0
"NCDN","turquoise",1
"GPX4","turquoise",1
"SYT17","turquoise",1
"POLB","yellow",4
"ALCAM","brown",3
"MAT2B","turquoise",1
"SH3KBP1","turquoise",1
"CYFIP2","turquoise",1
"CHAMP1","blue",2
"FAM162A","turquoise",1
"IFI27L2","brown",3
"MBNL1","turquoise",1
"PSMG1","turquoise",1
"RBM5","blue",2
"PIEZO2","brown",3
"CGNL1","brown",3
"MMD","blue",2
"AP3M2","turquoise",1
"MFSD1","blue",2
"MCL1","green",5
"VPS36","turquoise",1
"TBL1X","brown",3
"EEF1A2","turquoise",1
"SFT2D2","brown",3
"NEK11","turquoise",1
"APBA2","turquoise",1
"MICU1","turquoise",1
"TRAK1","grey",0
"UBR3","turquoise",1
"ACTN1","turquoise",1
"RGS11","green",5
"FOXO1","grey",0
"TMEM203","blue",2
"GRAMD1C","blue",2
"PPP2R5A","blue",2
"RNF122","yellow",4
"MZT1","turquoise",1
"TEX2","turquoise",1
"RPS17","grey",0
"RNU4-1","grey",0
"MERTK","grey",0
"EFHD2","turquoise",1
"CPLX1","red",6
"KATNB1","turquoise",1
"PTN","grey",0
"OCIAD2","turquoise",1
"ROCK1","grey",0
"TMBIM1","grey",0
"ELOVL6","turquoise",1
"ADCK2","turquoise",1
"TMEFF2","turquoise",1
"RASD1","turquoise",1
"MTMR7","turquoise",1
"NUDT7","turquoise",1
"ARMCX1","turquoise",1
"VPS26A","grey",0
"DZANK1","turquoise",1
"DNAJC9","turquoise",1
"ANP32B","brown",3
"RBM17","grey",0
"DEK","grey",0
"NIPBL","grey",0
"KCNH1","turquoise",1
"CRYL1","blue",2
"GNA12","brown",3
"KCNJ3","red",6
"EMC1","turquoise",1
"MFSD4A","turquoise",1
"PPT1","turquoise",1
"HMG20A","turquoise",1
"RNF11","turquoise",1
"KBTBD11","turquoise",1
"KSR1","brown",3
"PAM","turquoise",1
"SLC39A6","turquoise",1
"TRIM47","grey",0
"HDGFRP3","turquoise",1
"PRRT3","turquoise",1
"DYX1C1","turquoise",1
"UBASH3B","yellow",4
"CIPC","blue",2
"IL1RAPL1","brown",3
"HACD2","blue",2
"NR2F1","grey",0
"CADPS2","red",6
"JAK1","blue",2
"RDH11","turquoise",1
"MAPRE1","blue",2
"HNRNPUL1","green",5
"BOLA3","turquoise",1
"TRMT10B","yellow",4
"CABLES1","grey",0
"WASF3","grey",0
"COMMD1","blue",2
"PIP4K2B","turquoise",1
"PAQR3","turquoise",1
"EFNB2","blue",2
"LIX1","grey",0
"SEC61G","blue",2
"WAPL","grey",0
"KCNA3","turquoise",1
"PDLIM5","brown",3
"LMTK2","turquoise",1
"TERF2IP","turquoise",1
"VAPB","turquoise",1
"GPC5","turquoise",1
"SNORA3A","grey",0
"SLITRK3","turquoise",1
"MSX1","grey",0
"ANXA2P1","grey",0
"TRAPPC6A","brown",3
"ARL4A","turquoise",1
"GLMN","turquoise",1
"KCNV1","turquoise",1
"TSC22D1","turquoise",1
"AP1S2","turquoise",1
"MICU2","blue",2
"ACOT7","turquoise",1
"VASN","grey",0
"ATPAF1","turquoise",1
"ACTR1B","turquoise",1
"BCL6","green",5
"AURKAIP1","turquoise",1
"ATXN7L3B","turquoise",1
"SYNGR3","turquoise",1
"CLCNKA","yellow",4
"RNF7","blue",2
"ATP2B4","turquoise",1
"SCARNA7","green",5
"GRAMD3","brown",3
"DDA1","turquoise",1
"SNORD113-3","turquoise",1
"KLHL3","yellow",4
"TTYH1","grey",0
"STMN3","turquoise",1
"FBXO28","turquoise",1
"FAM229B","brown",3
"CLIC1","grey",0
"TMEM9","turquoise",1
"PSMD6","blue",2
"TRAPPC4","blue",2
"COL11A1","turquoise",1
"TMEM183A","turquoise",1
"WNT10B","turquoise",1
"HSPB8","turquoise",1
"PDXP","turquoise",1
"LRCH3","green",5
"EIF4B","grey",0
"PPIL6","blue",2
"DAD1","grey",0
"ACO2","turquoise",1
"UBE2L6","grey",0
"VEZF1","brown",3
"MARCKSL1","brown",3
"MIR181C","grey",0
"COMMD3","blue",2
"PCLO","red",6
"GATB","turquoise",1
"NOMO1","turquoise",1
"PKIB","yellow",4
"NDUFB9","blue",2
"RANBP9","blue",2
"SEC11C","blue",2
"APPL2","yellow",4
"MMADHC","blue",2
"TCTEX1D2","turquoise",1
"CTXN3","turquoise",1
"CNST","turquoise",1
"PAG1","yellow",4
"SRGN","grey",0
"KIFAP3","turquoise",1
"S100A13","grey",0
"MTMR6","turquoise",1
"ANKS6","yellow",4
"VPS4B","blue",2
"AHI1","turquoise",1
"SNCG","turquoise",1
"TXNL1","turquoise",1
"ADGRB3","turquoise",1
"DRG1","blue",2
"FUBP1","blue",2
"FTO","turquoise",1
"ADO","turquoise",1
"HNRNPH2","blue",2
"SATL1","turquoise",1
"PNN","green",5
"KLHL12","turquoise",1
"EIF2S1","turquoise",1
"BAG3","grey",0
"KLHL7","turquoise",1
"MARC2","turquoise",1
"AFTPH","turquoise",1
"COPB1","blue",2
"HERC2","blue",2
"ARV1","turquoise",1
"NUDT14","turquoise",1
"KIDINS220","blue",2
"ENDOV","turquoise",1
"ZNF292","green",5
"TSPAN9","yellow",4
"DCTN6","turquoise",1
"CAMSAP1","turquoise",1
"NKX2-2","brown",3
"IPO11","turquoise",1
"MRPS36","turquoise",1
"DUSP14","turquoise",1
"ZNF280B","turquoise",1
"QSOX2","grey",0
"FEZ1","turquoise",1
"NDUFS8","turquoise",1
"TRPM6","brown",3
"CKB","blue",2
"ZNF395","grey",0
"ENTPD3","turquoise",1
"GLOD4","turquoise",1
"MPC2","turquoise",1
"SLITRK1","turquoise",1
"ANAPC13","turquoise",1
"KITLG","turquoise",1
"FMNL2","grey",0
"HAPLN4","turquoise",1
"MRPL47","blue",2
"USP17L27","turquoise",1
"TMC6","brown",3
"PSMA4","blue",2
"KDM1A","turquoise",1
"SEPP1","brown",3
"PARP2","turquoise",1
"PDE1C","brown",3
"SUMO3","turquoise",1
"TMEM150A","grey",0
"TSHZ3","turquoise",1
"PRKAR2B","turquoise",1
"RGS7","red",6
"MSRB2","turquoise",1
"KIAA1191","blue",2
"RBX1","blue",2
"C11orf58","blue",2
"SMG1P1","green",5
"PCID2","grey",0
"HIST2H2AA3","green",5
"SLTM","grey",0
"DHX29","blue",2
"NEBL","yellow",4
"WDR6","green",5
"SNRPB2","turquoise",1
"TUBA4B","turquoise",1
"DDX27","green",5
"ZMYM4","blue",2
"RAB9B","red",6
"TMEM181","turquoise",1
"GFRA1","turquoise",1
"ARHGAP12","blue",2
"NSG1","turquoise",1
"TJP1","brown",3
"ZBTB18","yellow",4
"PIP4K2A","brown",3
"PLEKHH1","brown",3
"SLC9A7","turquoise",1
"ZDHHC22","turquoise",1
"HSD17B12","turquoise",1
"TTC38","grey",0
"MAP3K7","turquoise",1
"TMEM178A","red",6
"CNEP1R1","blue",2
"UTP15","blue",2
"APITD1","turquoise",1
"DERA","blue",2
"QKI","brown",3
"ARMC8","yellow",4
"KSR2","red",6
"GUK1","blue",2
"BEX3","turquoise",1
"CLK1","green",5
"COL5A3","grey",0
"TMEM196","turquoise",1
"MEST","turquoise",1
"MFSD3","turquoise",1
"KLHL2","turquoise",1
"ZNF680","blue",2
"KCNJ6","red",6
"WSCD2","yellow",4
"SC5D","turquoise",1
"DYNLRB1","turquoise",1
"CCP110","brown",3
"RNF219","turquoise",1
"FAM136A","turquoise",1
"GRM2","turquoise",1
"APLP1","brown",3
"RBM12B","yellow",4
"N4BP2L2","blue",2
"FOXO4","brown",3
"BCKDHA","blue",2
"SNRNP25","blue",2
"TP53I13","brown",3
"NIPAL3","grey",0
"CDK11B","green",5
"COPS7A","turquoise",1
"TTC3","green",5
"RNF182","blue",2
"ENPP2","brown",3
"MAG","brown",3
"POLR3D","turquoise",1
"PPP2R5D","turquoise",1
"SH3GLB2","turquoise",1
"ARGLU1","blue",2
"KLHDC2","turquoise",1
"CDKN1B","grey",0
"TFDP1","blue",2
"CAPZB","turquoise",1
"CAMLG","turquoise",1
"ATP1B2","grey",0
"PTPMT1","blue",2
"CLSTN1","red",6
"BAALC","turquoise",1
"HDAC9","turquoise",1
"DDIT4","grey",0
"FLCN","yellow",4
"MCM7","yellow",4
"BMP7","grey",0
"ARF5","turquoise",1
"HHIP","brown",3
"ATP6V0D1","turquoise",1
"HIRA","grey",0
"GPRIN3","yellow",4
"GCSAML","green",5
"LIFR","grey",0
"CLTB","turquoise",1
"ZIC1","yellow",4
"PHLDB1","brown",3
"UQCRBP1","blue",2
"FNDC3A","blue",2
"TUBA3C","turquoise",1
"PI4KAP2","turquoise",1
"SCPEP1","turquoise",1
"RAB15","red",6
"KLF15","grey",0
"TXNDC9","blue",2
"BABAM1","turquoise",1
"TIAM1","yellow",4
"SALL2","yellow",4
"CDH2","turquoise",1
"ARAP2","brown",3
"COX7B","blue",2
"DAZAP2","blue",2
"RPS27A","grey",0
"FAM198B","grey",0
"RPRM","turquoise",1
"VPS13C","green",5
"ZC3H15","turquoise",1
"CXADR","turquoise",1
"BIN1","brown",3
"GLYR1","blue",2
"B3GLCT","turquoise",1
"ZBTB7C","turquoise",1
"LINC00094","turquoise",1
"LAMP2","brown",3
"ATP5F1","turquoise",1
"SLC25A23","turquoise",1
"SPHKAP","red",6
"ITGA10","grey",0
"PPP1R1A","turquoise",1
"RPS27L","grey",0
"MARK1","turquoise",1
"ZCCHC24","brown",3
"SPECC1L","yellow",4
"DMXL1","blue",2
"IFITM3","grey",0
"TM9SF2","blue",2
"GMPS","blue",2
"ZC2HC1A","turquoise",1
"C12orf10","turquoise",1
"LRRN3","turquoise",1
"STAG1","yellow",4
"CDH10","turquoise",1
"BSN","turquoise",1
"CGN","yellow",4
"NRN1","turquoise",1
"FGFR1OP2","turquoise",1
"HAUS7","turquoise",1
"MTUS1","yellow",4
"DNMT1","blue",2
"CACNB3","turquoise",1
"ZNF775","grey",0
"FERMT2","blue",2
"CHMP4A","blue",2
"DDX41","turquoise",1
"TGFBR2","grey",0
"LRRC37B","yellow",4
"CDH12","turquoise",1
"ARFGEF2","turquoise",1
"ME1","turquoise",1
"CNTN2","brown",3
"TMEM151A","turquoise",1
"PRPF18","turquoise",1
"FABP3","turquoise",1
"PLTP","grey",0
"HOMER1","turquoise",1
"DNM1","turquoise",1
"SORBS2","turquoise",1
"STK39","turquoise",1
"SAP30","blue",2
"UBE2K","turquoise",1
"NKAIN2","turquoise",1
"LANCL2","turquoise",1
"UBE2Q2","turquoise",1
"LHPP","brown",3
"RAN","turquoise",1
"PPP2R2C","turquoise",1
"NIPSNAP3A","turquoise",1
"RSPH1","turquoise",1
"DFNA5","turquoise",1
"INSIG2","turquoise",1
"ANXA5","brown",3
"FADS1","blue",2
"NIF3L1","turquoise",1
"MRPS30","turquoise",1
"CYP51A1","turquoise",1
"PDCL3","blue",2
"TMEM258","blue",2
"KCNMB4","brown",3
"UBXN4","blue",2
"TSPAN5","turquoise",1
"RAB6C","turquoise",1
"VGF","turquoise",1
"HADH","turquoise",1
"PTPN2","grey",0
"RIMS1","turquoise",1
"WASL","turquoise",1
"THEMIS","turquoise",1
"RASGRF2","turquoise",1
"STON2","brown",3
"PRUNE2","turquoise",1
"CCSER2","turquoise",1
"SELM","turquoise",1
"ANO6","grey",0
"BAZ2B","grey",0
"ATP5C1","turquoise",1
"KCNJ2","brown",3
"HN1","turquoise",1
"UNC79","red",6
"DICER1","brown",3
"USP17L6P","turquoise",1
"NR1H3","brown",3
"YARS2","turquoise",1
"LIME1","green",5
"DNAJA4","turquoise",1
"OLIG2","brown",3
"UQCRB","blue",2
"PNRC1","yellow",4
"OPTN","turquoise",1
"FOXRED1","turquoise",1
"DAAM1","turquoise",1
"ASPH","grey",0
"ID4","grey",0
"NME7","blue",2
"EPS8","grey",0
"CEP126","turquoise",1
"PID1","turquoise",1
"PEG10","turquoise",1
"TBPL1","turquoise",1
"SCAI","turquoise",1
"SLITRK2","turquoise",1
"MDGA1","yellow",4
"PLEKHB2","turquoise",1
"NBEA","turquoise",1
"SNORD114-11","red",6
"WDR54","turquoise",1
"PHYHIPL","turquoise",1
"MOG","brown",3
"ERP44","yellow",4
"BCAS4","turquoise",1
"KTN1","grey",0
"NCAN","turquoise",1
"CCNY","turquoise",1
"GON7","turquoise",1
"DNAJC10","turquoise",1
"CRIPT","grey",0
"PDHX","blue",2
"MAPRE3","turquoise",1
"TMEM147","blue",2
"ATP5L","blue",2
"GFM1","blue",2
"ATP5J2","turquoise",1
"NOL7","blue",2
"ACBD6","blue",2
"EDIL3","brown",3
"CEBPB","turquoise",1
"ADGRL3","turquoise",1
"MRPS34","brown",3
"UAP1","turquoise",1
"MTIF2","blue",2
"ATMIN","turquoise",1
"C1orf162","grey",0
"S1PR3","grey",0
"TMEM237","turquoise",1
"GRM8","turquoise",1
"PLD3","turquoise",1
"TSC22D3","grey",0
"ATP6V0E1","brown",3
"DCDC2","turquoise",1
"P2RY1","grey",0
"PLIN3","brown",3
"PEBP1","turquoise",1
"TPD52L1","brown",3
"TMTC2","brown",3
"TMEM115","grey",0
"SIRPA","turquoise",1
"COPA","turquoise",1
"RALB","blue",2
"TENM1","yellow",4
"PRODH","grey",0
"STOM","grey",0
"PALM","grey",0
"PABPC1","grey",0
"GPM6A","turquoise",1
"LRRK2","turquoise",1
"GPR135","yellow",4
"ARL6IP5","turquoise",1
"DTNB","turquoise",1
"INPP1","blue",2
"NUDT9","turquoise",1
"C1orf198","brown",3
"CD2BP2","turquoise",1
"METAP1","turquoise",1
"EFEMP2","grey",0
"CNTN3","turquoise",1
"SUSD1","turquoise",1
"BRD7P3","grey",0
"LCOR","yellow",4
"TMEM33","turquoise",1
"THEM6","turquoise",1
"PARVA","blue",2
"CDC37L1","turquoise",1
"COL5A2","turquoise",1
"SLC25A33","blue",2
"NDUFAF5","turquoise",1
"HEXB","blue",2
"KDELC2","grey",0
"KHNYN","green",5
"ELK4","green",5
"MRPL17","turquoise",1
"FTL","brown",3
"RPL9","grey",0
"TMEM2","green",5
"WDR33","yellow",4
"SHROOM2","turquoise",1
"TRIM9","red",6
"NAPEPLD","turquoise",1
"P4HTM","turquoise",1
"PACRG","turquoise",1
"HCFC1R1","turquoise",1
"SMARCA1","turquoise",1
"PPM1K","blue",2
"NENF","brown",3
"PAMR1","turquoise",1
"MAP7","brown",3
"CNDP2","brown",3
"SERINC3","turquoise",1
"SMOX","green",5
"TUBA1A","brown",3
"TM2D3","turquoise",1
"CD200","turquoise",1
"HOOK1","red",6
"SNORD57","green",5
"CSPG4","brown",3
"DDX5","blue",2
"CDC42BPG","green",5
"FARP1","grey",0
"B4GALT1","grey",0
"LSM8","grey",0
"TIMP4","yellow",4
"TMEM128","turquoise",1
"TALDO1","blue",2
"PBX1","turquoise",1
"CACNB4","red",6
"HCFC2","turquoise",1
"SARS","turquoise",1
"NBPF1","yellow",4
"TMEM87A","blue",2
"TMCO1","blue",2
"ULK1","grey",0
"GLTP","brown",3
"KLHDC8B","blue",2
"TIAF1","green",5
"TAF4B","turquoise",1
"TXNDC15","turquoise",1
"PHIP","yellow",4
"SLC12A2","brown",3
"FAM110B","turquoise",1
"PRR18","brown",3
"SDCBP","blue",2
"PLEKHA2","turquoise",1
"MOXD1","turquoise",1
"LIMA1","yellow",4
"RSC1A1","grey",0
"RHOU","brown",3
"PLLP","brown",3
"ARHGAP39","grey",0
"TBC1D13","turquoise",1
"OSBPL1A","turquoise",1
"CROCCP2","green",5
"TAF10","turquoise",1
